id,manufacturer,device,module_role,sensor_name,optical_format,sensor_width_mm,sensor_height_mm,dimension_method,confidence,source_title,source_url,notes
google_pixel_9_pro_rear_telephoto,Google,Pixel 9 Pro,rear_telephoto,Sony IMX858,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Google-Pixel-9-Pro_id12285,
google_pixel_9_pro_xl_rear_main,Google,Pixel 9 Pro XL,rear_main,Samsung ISOCELL GNK,"1/1.31""",9.771,7.328,optical_format_conversion,probable,Google / PhoneArena,https://www.phonearena.com/phones/Google-Pixel-9-Pro_id12285,
google_pixel_9_pro_xl_rear_ultrawide,Google,Pixel 9 Pro XL,rear_ultrawide,Sony IMX858,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Google-Pixel-9-Pro_id12285,
google_pixel_9_pro_xl_rear_telephoto,Google,Pixel 9 Pro XL,rear_telephoto,Sony IMX858,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Google-Pixel-9-Pro_id12285,
google_pixel_9a_rear_main,Google,Pixel 9a,rear_main,,"1/2.0""",6.4,4.8,optical_format_conversion,provisional,Compiled Pixel specification,,
google_pixel_9a_rear_ultrawide,Google,Pixel 9a,rear_ultrawide,,"1/3.1""",4.129,3.097,optical_format_conversion,provisional,Compiled Pixel specification,,
google_pixel_10_pro_rear_main,Google,Pixel 10 Pro,rear_main,Samsung ISOCELL GNV,"1/1.3""",9.846,7.385,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Google-Pixel-10-Pro_id12652,
google_pixel_10_pro_rear_ultrawide,Google,Pixel 10 Pro,rear_ultrawide,Sony IMX858,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Google-Pixel-10-Pro_id12652,
google_pixel_10_pro_rear_telephoto,Google,Pixel 10 Pro,rear_telephoto,Sony IMX858,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Google-Pixel-10-Pro_id12652,
google_pixel_10_pro_xl_rear_main,Google,Pixel 10 Pro XL,rear_main,Samsung ISOCELL GNV,"1/1.3""",9.846,7.385,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Google-Pixel-10-Pro_id12652,
google_pixel_10_pro_xl_rear_ultrawide,Google,Pixel 10 Pro XL,rear_ultrawide,Sony IMX858,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Google-Pixel-10-Pro_id12652,
google_pixel_10_pro_xl_rear_telephoto,Google,Pixel 10 Pro XL,rear_telephoto,Sony IMX858,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Google-Pixel-10-Pro_id12652,
google_pixel_10_rear_main,Google,Pixel 10,rear_main,,"1/1.95""",6.564,4.923,optical_format_conversion,provisional,Compiled current Pixel specification,,
google_pixel_10_rear_ultrawide,Google,Pixel 10,rear_ultrawide,,"1/3.1""",4.129,3.097,optical_format_conversion,provisional,Compiled current Pixel specification,,
google_pixel_10_rear_telephoto,Google,Pixel 10,rear_telephoto,,"1/3.1""",4.129,3.097,optical_format_conversion,provisional,Compiled current Pixel specification,,
samsung_galaxy_s20_ultra_rear_main,Samsung,Galaxy S20 Ultra,rear_main,,"1/1.33""",9.624,7.218,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Samsung-Galaxy-S20-Ultra-5G_id11288,
samsung_galaxy_s20_ultra_rear_ultrawide,Samsung,Galaxy S20 Ultra,rear_ultrawide,,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Samsung-Galaxy-S20-Ultra-5G_id11288,
samsung_galaxy_s20_ultra_rear_telephoto_3x,Samsung,Galaxy S20 Ultra,rear_telephoto_3x,,"1/3.5""",3.657,2.743,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Samsung-Galaxy-S20-Ultra-5G_id11288,
samsung_galaxy_s20_ultra_rear_telephoto_long,Samsung,Galaxy S20 Ultra,rear_telephoto_long,,"1/4.4""",2.909,2.182,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Samsung-Galaxy-S20-Ultra-5G_id11288,
samsung_galaxy_s21_ultra_rear_main,Samsung,Galaxy S21 Ultra,rear_main,,"1/1.33""",9.624,7.218,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Samsung-Galaxy-S21-Ultra_id11510,
samsung_galaxy_s21_ultra_rear_ultrawide,Samsung,Galaxy S21 Ultra,rear_ultrawide,,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Samsung-Galaxy-S21-Ultra_id11510,
samsung_galaxy_s21_ultra_rear_telephoto_3x,Samsung,Galaxy S21 Ultra,rear_telephoto_3x,,"1/3.52""",3.636,2.727,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Samsung-Galaxy-S21-Ultra_id11510,
samsung_galaxy_s21_ultra_rear_telephoto_long,Samsung,Galaxy S21 Ultra,rear_telephoto_long,,"1/3.52""",3.636,2.727,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Samsung-Galaxy-S21-Ultra_id11510,
samsung_galaxy_s22_ultra_rear_main,Samsung,Galaxy S22 Ultra,rear_main,,"1/1.33""",9.624,7.218,optical_format_conversion,probable,PhoneArena,https://origin.phonearena.com/phones/Samsung-Galaxy-S22-Ultra_id11761,
samsung_galaxy_s22_ultra_rear_ultrawide,Samsung,Galaxy S22 Ultra,rear_ultrawide,,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena,https://origin.phonearena.com/phones/Samsung-Galaxy-S22-Ultra_id11761,
samsung_galaxy_s22_ultra_rear_telephoto_3x,Samsung,Galaxy S22 Ultra,rear_telephoto_3x,,"1/3.52""",3.636,2.727,optical_format_conversion,probable,PhoneArena,https://origin.phonearena.com/phones/Samsung-Galaxy-S22-Ultra_id11761,
samsung_galaxy_s22_ultra_rear_telephoto_long,Samsung,Galaxy S22 Ultra,rear_telephoto_long,,"1/3.52""",3.636,2.727,optical_format_conversion,probable,PhoneArena,https://origin.phonearena.com/phones/Samsung-Galaxy-S22-Ultra_id11761,
samsung_galaxy_s23_ultra_rear_main,Samsung,Galaxy S23 Ultra,rear_main,,"1/1.3""",9.846,7.385,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Samsung-Galaxy-S23-Ultra_id12002,
samsung_galaxy_s23_ultra_rear_ultrawide,Samsung,Galaxy S23 Ultra,rear_ultrawide,,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Samsung-Galaxy-S23-Ultra_id12002,
samsung_galaxy_s23_ultra_rear_telephoto_3x,Samsung,Galaxy S23 Ultra,rear_telephoto_3x,,"1/3.52""",3.636,2.727,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Samsung-Galaxy-S23-Ultra_id12002,
samsung_galaxy_s23_ultra_rear_telephoto_long,Samsung,Galaxy S23 Ultra,rear_telephoto_long,,"1/3.52""",3.636,2.727,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Samsung-Galaxy-S23-Ultra_id12002,
samsung_galaxy_s24_ultra_rear_main,Samsung,Galaxy S24 Ultra,rear_main,,"1/1.3""",9.846,7.385,optical_format_conversion,probable,PhoneArena,https://origin.phonearena.com/phones/Samsung-Galaxy-S24-Ultra_id12115,
samsung_galaxy_s24_ultra_rear_ultrawide,Samsung,Galaxy S24 Ultra,rear_ultrawide,,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena,https://origin.phonearena.com/phones/Samsung-Galaxy-S24-Ultra_id12115,
samsung_galaxy_s24_ultra_rear_telephoto_3x,Samsung,Galaxy S24 Ultra,rear_telephoto_3x,,"1/3.52""",3.636,2.727,optical_format_conversion,probable,PhoneArena,https://origin.phonearena.com/phones/Samsung-Galaxy-S24-Ultra_id12115,
samsung_galaxy_s24_ultra_rear_telephoto_long,Samsung,Galaxy S24 Ultra,rear_telephoto_long,,"1/2.52""",5.079,3.81,optical_format_conversion,probable,PhoneArena,https://origin.phonearena.com/phones/Samsung-Galaxy-S24-Ultra_id12115,
samsung_galaxy_s25_ultra_rear_main,Samsung,Galaxy S25 Ultra,rear_main,,"1/1.3""",9.846,7.385,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Samsung-Galaxy-S25-Ultra_id12343,
samsung_galaxy_s25_ultra_rear_ultrawide,Samsung,Galaxy S25 Ultra,rear_ultrawide,,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,PhoneArena,https://www.phonearena.com/phones/Samsung-Galaxy-S25-Ultra_id12343,S25 Ultra ultrawide JN3 exact optical-format figure needs source-link audit.
samsung_galaxy_s25_ultra_rear_telephoto_3x,Samsung,Galaxy S25 Ultra,rear_telephoto_3x,,"1/3.52""",3.636,2.727,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Samsung-Galaxy-S25-Ultra_id12343,
samsung_galaxy_s25_ultra_rear_telephoto_long,Samsung,Galaxy S25 Ultra,rear_telephoto_long,,"1/2.52""",5.079,3.81,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Samsung-Galaxy-S25-Ultra_id12343,
samsung_galaxy_s20_rear_main,Samsung,Galaxy S20,rear_main,,"1/1.76""",7.273,5.455,optical_format_conversion,provisional,Compiled Galaxy S specification,,
samsung_galaxy_s20_rear_ultrawide,Samsung,Galaxy S20,rear_ultrawide,,"1/2.55""",5.02,3.765,optical_format_conversion,provisional,Compiled Galaxy S specification,,
samsung_galaxy_s20_rear_telephoto,Samsung,Galaxy S20,rear_telephoto,,"1/1.72""",7.442,5.581,optical_format_conversion,provisional,Compiled Galaxy S specification,,High-resolution crop-tele module; exact format/source requires audit.
samsung_galaxy_s20_plus_rear_main,Samsung,Galaxy S20 Plus,rear_main,,"1/1.76""",7.273,5.455,optical_format_conversion,provisional,Compiled Galaxy S specification,,
samsung_galaxy_s20_plus_rear_ultrawide,Samsung,Galaxy S20 Plus,rear_ultrawide,,"1/2.55""",5.02,3.765,optical_format_conversion,provisional,Compiled Galaxy S specification,,
samsung_galaxy_s20_plus_rear_telephoto,Samsung,Galaxy S20 Plus,rear_telephoto,,"1/1.72""",7.442,5.581,optical_format_conversion,provisional,Compiled Galaxy S specification,,High-resolution crop-tele module; exact format/source requires audit.
samsung_galaxy_s21_rear_main,Samsung,Galaxy S21,rear_main,,"1/1.76""",7.273,5.455,optical_format_conversion,provisional,Compiled Galaxy S specification,,
samsung_galaxy_s21_rear_ultrawide,Samsung,Galaxy S21,rear_ultrawide,,"1/2.55""",5.02,3.765,optical_format_conversion,provisional,Compiled Galaxy S specification,,
samsung_galaxy_s21_rear_telephoto,Samsung,Galaxy S21,rear_telephoto,,"1/1.72""",7.442,5.581,optical_format_conversion,provisional,Compiled Galaxy S specification,,High-resolution crop-tele module; exact format/source requires audit.
samsung_galaxy_s21_plus_rear_main,Samsung,Galaxy S21 Plus,rear_main,,"1/1.76""",7.273,5.455,optical_format_conversion,provisional,Compiled Galaxy S specification,,
samsung_galaxy_s21_plus_rear_ultrawide,Samsung,Galaxy S21 Plus,rear_ultrawide,,"1/2.55""",5.02,3.765,optical_format_conversion,provisional,Compiled Galaxy S specification,,
samsung_galaxy_s21_plus_rear_telephoto,Samsung,Galaxy S21 Plus,rear_telephoto,,"1/1.72""",7.442,5.581,optical_format_conversion,provisional,Compiled Galaxy S specification,,High-resolution crop-tele module; exact format/source requires audit.
samsung_galaxy_s22_rear_main,Samsung,Galaxy S22,rear_main,,"1/1.56""",8.205,6.154,optical_format_conversion,probable,PhoneArena/compiled,,
samsung_galaxy_s22_rear_ultrawide,Samsung,Galaxy S22,rear_ultrawide,,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena/compiled,,
samsung_galaxy_s22_rear_telephoto_3x,Samsung,Galaxy S22,rear_telephoto_3x,,"1/3.94""",3.249,2.437,optical_format_conversion,probable,PhoneArena/compiled,,
samsung_galaxy_s22_plus_rear_main,Samsung,Galaxy S22 Plus,rear_main,,"1/1.56""",8.205,6.154,optical_format_conversion,probable,PhoneArena/compiled,,
samsung_galaxy_s22_plus_rear_ultrawide,Samsung,Galaxy S22 Plus,rear_ultrawide,,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena/compiled,,
samsung_galaxy_s22_plus_rear_telephoto_3x,Samsung,Galaxy S22 Plus,rear_telephoto_3x,,"1/3.94""",3.249,2.437,optical_format_conversion,probable,PhoneArena/compiled,,
samsung_galaxy_s23_rear_main,Samsung,Galaxy S23,rear_main,Samsung GN3,"1/1.56""",8.205,6.154,optical_format_conversion,probable,PhoneArena/compiled,,
samsung_galaxy_s23_rear_ultrawide,Samsung,Galaxy S23,rear_ultrawide,Sony IMX564,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena/compiled,,
samsung_galaxy_s23_rear_telephoto_3x,Samsung,Galaxy S23,rear_telephoto_3x,Samsung S5K3K1,"1/3.94""",3.249,2.437,optical_format_conversion,probable,PhoneArena/compiled,,
samsung_galaxy_s23_plus_rear_main,Samsung,Galaxy S23 Plus,rear_main,Samsung GN3,"1/1.56""",8.205,6.154,optical_format_conversion,probable,PhoneArena/compiled,,
samsung_galaxy_s23_plus_rear_ultrawide,Samsung,Galaxy S23 Plus,rear_ultrawide,Sony IMX564,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena/compiled,,
samsung_galaxy_s23_plus_rear_telephoto_3x,Samsung,Galaxy S23 Plus,rear_telephoto_3x,Samsung S5K3K1,"1/3.94""",3.249,2.437,optical_format_conversion,probable,PhoneArena/compiled,,
samsung_galaxy_s24_rear_main,Samsung,Galaxy S24,rear_main,Samsung GN3,"1/1.56""",8.205,6.154,optical_format_conversion,probable,PhoneArena/compiled,,
samsung_galaxy_s24_rear_ultrawide,Samsung,Galaxy S24,rear_ultrawide,Sony IMX564,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena/compiled,,
samsung_galaxy_s24_rear_telephoto_3x,Samsung,Galaxy S24,rear_telephoto_3x,Samsung S5K3K1,"1/3.94""",3.249,2.437,optical_format_conversion,probable,PhoneArena/compiled,,
samsung_galaxy_s24_plus_rear_main,Samsung,Galaxy S24 Plus,rear_main,Samsung GN3,"1/1.56""",8.205,6.154,optical_format_conversion,probable,PhoneArena/compiled,,
samsung_galaxy_s24_plus_rear_ultrawide,Samsung,Galaxy S24 Plus,rear_ultrawide,Sony IMX564,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena/compiled,,
samsung_galaxy_s24_plus_rear_telephoto_3x,Samsung,Galaxy S24 Plus,rear_telephoto_3x,Samsung S5K3K1,"1/3.94""",3.249,2.437,optical_format_conversion,probable,PhoneArena/compiled,,
samsung_galaxy_s25_rear_main,Samsung,Galaxy S25,rear_main,Samsung GN3,"1/1.56""",8.205,6.154,optical_format_conversion,probable,PhoneArena/compiled,https://www.phonearena.com/phones/compare/Samsung-Galaxy-S25%2CSamsung-Galaxy-S25-Ultra/phones/12340%2C12343,
samsung_galaxy_s25_rear_ultrawide,Samsung,Galaxy S25,rear_ultrawide,Sony IMX564,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena/compiled,https://www.phonearena.com/phones/compare/Samsung-Galaxy-S25%2CSamsung-Galaxy-S25-Ultra/phones/12340%2C12343,
samsung_galaxy_s25_rear_telephoto_3x,Samsung,Galaxy S25,rear_telephoto_3x,Samsung S5K3K1,"1/3.94""",3.249,2.437,optical_format_conversion,probable,PhoneArena/compiled,https://www.phonearena.com/phones/compare/Samsung-Galaxy-S25%2CSamsung-Galaxy-S25-Ultra/phones/12340%2C12343,
samsung_galaxy_s25_plus_rear_main,Samsung,Galaxy S25 Plus,rear_main,Samsung GN3,"1/1.56""",8.205,6.154,optical_format_conversion,probable,PhoneArena/compiled,https://www.phonearena.com/phones/compare/Samsung-Galaxy-S25%2CSamsung-Galaxy-S25-Ultra/phones/12340%2C12343,
samsung_galaxy_s25_plus_rear_ultrawide,Samsung,Galaxy S25 Plus,rear_ultrawide,Sony IMX564,"1/2.55""",5.02,3.765,optical_format_conversion,probable,PhoneArena/compiled,https://www.phonearena.com/phones/compare/Samsung-Galaxy-S25%2CSamsung-Galaxy-S25-Ultra/phones/12340%2C12343,
samsung_galaxy_s25_plus_rear_telephoto_3x,Samsung,Galaxy S25 Plus,rear_telephoto_3x,Samsung S5K3K1,"1/3.94""",3.249,2.437,optical_format_conversion,probable,PhoneArena/compiled,https://www.phonearena.com/phones/compare/Samsung-Galaxy-S25%2CSamsung-Galaxy-S25-Ultra/phones/12340%2C12343,
