id,manufacturer,device,module_role,optical_format,sensor_width_mm,sensor_height_mm,dimension_method,confidence,verification_status,source_title,source_url,notes
xiaomi_xiaomi_14_ultra_rear_main,Xiaomi,Xiaomi 14 Ultra,rear_main,"1/1.0""",12.8,9.6,optical_format_conversion,probable,manufacturer_format_verified,Xiaomi official specifications,https://www.mi.com/global/xiaomi-14-ultra/specs/,
xiaomi_xiaomi_14_ultra_rear_ultrawide,Xiaomi,Xiaomi 14 Ultra,rear_ultrawide,"1/2.51""",5.1,3.825,optical_format_conversion,probable,manufacturer_format_verified,Xiaomi official specifications,https://www.mi.com/global/xiaomi-14-ultra/specs/,
xiaomi_xiaomi_14_ultra_rear_telephoto,Xiaomi,Xiaomi 14 Ultra,rear_telephoto,"1/2.51""",5.1,3.825,optical_format_conversion,probable,manufacturer_format_verified,Xiaomi official specifications,https://www.mi.com/global/xiaomi-14-ultra/specs/,
xiaomi_xiaomi_15_rear_main,Xiaomi,Xiaomi 15,rear_main,"1/1.31""",9.771,7.328,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_15_rear_ultrawide,Xiaomi,Xiaomi 15,rear_ultrawide,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_15_rear_telephoto,Xiaomi,Xiaomi 15,rear_telephoto,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_15_pro_rear_main,Xiaomi,Xiaomi 15 Pro,rear_main,"1/1.31""",9.771,7.328,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_15_pro_rear_ultrawide,Xiaomi,Xiaomi 15 Pro,rear_ultrawide,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_15_pro_rear_telephoto,Xiaomi,Xiaomi 15 Pro,rear_telephoto,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_xiaomi_15_ultra_rear_main,Xiaomi,Xiaomi 15 Ultra,rear_main,"1/1.0""",12.8,9.6,optical_format_conversion,probable,manufacturer_format_verified,Xiaomi official launch/specifications,https://www.mi.com/global/event/2025/xiaomi-launch-february-2025/,
xiaomi_xiaomi_15_ultra_rear_ultrawide,Xiaomi,Xiaomi 15 Ultra,rear_ultrawide,"1/2.76""",4.638,3.478,optical_format_conversion,probable,manufacturer_format_verified,Xiaomi official launch/specifications,https://www.mi.com/global/event/2025/xiaomi-launch-february-2025/,
xiaomi_xiaomi_15_ultra_rear_telephoto,Xiaomi,Xiaomi 15 Ultra,rear_telephoto,"1/1.4""",9.143,6.857,optical_format_conversion,probable,manufacturer_format_verified,Xiaomi official launch/specifications,https://www.mi.com/global/event/2025/xiaomi-launch-february-2025/,
xiaomi_redmi_note_11_pro_5g_rear_main,Xiaomi,Redmi Note 11 Pro 5G,rear_main,"1/1.52""",8.421,6.316,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_redmi_note_11_pro_5g_rear_ultrawide,Xiaomi,Redmi Note 11 Pro 5G,rear_ultrawide,"1/3.06""",4.183,3.137,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_redmi_note_12_pro_5g_rear_main,Xiaomi,Redmi Note 12 Pro 5G,rear_main,"1/1.56""",8.205,6.154,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_redmi_note_12_pro_5g_rear_ultrawide,Xiaomi,Redmi Note 12 Pro 5G,rear_ultrawide,"1/2.2""",5.818,4.364,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_redmi_note_12_pro_5g_rear_main,Xiaomi,Redmi Note 12 Pro+ 5G,rear_main,"1/1.4""",9.143,6.857,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_redmi_note_12_pro_5g_rear_ultrawide,Xiaomi,Redmi Note 12 Pro+ 5G,rear_ultrawide,"1/2.2""",5.818,4.364,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_redmi_note_13_pro_5g_rear_main,Xiaomi,Redmi Note 13 Pro 5G,rear_main,"1/1.4""",9.143,6.857,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_redmi_note_13_pro_5g_rear_ultrawide,Xiaomi,Redmi Note 13 Pro 5G,rear_ultrawide,"1/3.06""",4.183,3.137,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_redmi_note_13_pro_5g_rear_main,Xiaomi,Redmi Note 13 Pro+ 5G,rear_main,"1/1.4""",9.143,6.857,optical_format_conversion,probable,manufacturer_format_verified,Xiaomi official specifications,https://www.mi.com/global/redmi-note-13-pro-plus-5g/specs/,
xiaomi_redmi_note_13_pro_5g_rear_ultrawide,Xiaomi,Redmi Note 13 Pro+ 5G,rear_ultrawide,"1/3.06""",4.183,3.137,optical_format_conversion,probable,manufacturer_format_verified,Xiaomi official specifications,https://www.mi.com/global/redmi-note-13-pro-plus-5g/specs/,
xiaomi_redmi_note_14_pro_5g_rear_main,Xiaomi,Redmi Note 14 Pro 5G,rear_main,"1/1.56""",8.205,6.154,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_redmi_note_14_pro_5g_rear_ultrawide,Xiaomi,Redmi Note 14 Pro 5G,rear_ultrawide,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_redmi_note_14_pro_5g_rear_main,Xiaomi,Redmi Note 14 Pro+ 5G,rear_main,"1/1.4""",9.143,6.857,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
xiaomi_redmi_note_14_pro_5g_rear_ultrawide,Xiaomi,Redmi Note 14 Pro+ 5G,rear_ultrawide,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled device camera specification,,
sony_xperia_1_iii_rear_main,Sony,Xperia 1 III,rear_main,"1/1.7""",7.529,5.647,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_1_iii_rear_ultrawide,Sony,Xperia 1 III,rear_ultrawide,"1/2.5""",5.12,3.84,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_1_iii_rear_telephoto,Sony,Xperia 1 III,rear_telephoto,"1/2.9""",4.414,3.31,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_1_iv_rear_main,Sony,Xperia 1 IV,rear_main,"1/1.7""",7.529,5.647,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_1_iv_rear_ultrawide,Sony,Xperia 1 IV,rear_ultrawide,"1/2.5""",5.12,3.84,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_1_iv_rear_telephoto,Sony,Xperia 1 IV,rear_telephoto,"1/2.9""",4.414,3.31,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_1_v_rear_main,Sony,Xperia 1 V,rear_main,"1/1.35""",9.481,7.111,optical_format_conversion,probable,manufacturer_format_verified,Sony official specifications,https://www.sony.com/electronics/support/mobile-phones-tablets-mobile-phones/xperia-1-v/specifications,
sony_xperia_1_v_rear_ultrawide,Sony,Xperia 1 V,rear_ultrawide,"1/2.5""",5.12,3.84,optical_format_conversion,probable,manufacturer_format_verified,Sony official specifications,https://www.sony.com/electronics/support/mobile-phones-tablets-mobile-phones/xperia-1-v/specifications,
sony_xperia_1_v_rear_telephoto,Sony,Xperia 1 V,rear_telephoto,"1/2.9""",4.414,3.31,optical_format_conversion,probable,manufacturer_format_verified,Sony official specifications,https://www.sony.com/electronics/support/mobile-phones-tablets-mobile-phones/xperia-1-v/specifications,
sony_xperia_1_vi_rear_main,Sony,Xperia 1 VI,rear_main,"1/1.35""",9.481,7.111,optical_format_conversion,probable,manufacturer_format_verified,Sony official specifications,https://www.sony.com/electronics/support/mobile-phones-tablets-mobile-phones/xperia-1-vi/specifications,
sony_xperia_1_vi_rear_ultrawide,Sony,Xperia 1 VI,rear_ultrawide,"1/2.5""",5.12,3.84,optical_format_conversion,probable,manufacturer_format_verified,Sony official specifications,https://www.sony.com/electronics/support/mobile-phones-tablets-mobile-phones/xperia-1-vi/specifications,
sony_xperia_1_vi_rear_telephoto,Sony,Xperia 1 VI,rear_telephoto,"1/2.9""",4.414,3.31,optical_format_conversion,probable,manufacturer_format_verified,Sony official specifications,https://www.sony.com/electronics/support/mobile-phones-tablets-mobile-phones/xperia-1-vi/specifications,
sony_xperia_5_iii_rear_main,Sony,Xperia 5 III,rear_main,"1/1.7""",7.529,5.647,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_5_iii_rear_ultrawide,Sony,Xperia 5 III,rear_ultrawide,"1/2.5""",5.12,3.84,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_5_iii_rear_telephoto,Sony,Xperia 5 III,rear_telephoto,"1/2.9""",4.414,3.31,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_5_iv_rear_main,Sony,Xperia 5 IV,rear_main,"1/1.7""",7.529,5.647,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_5_iv_rear_ultrawide,Sony,Xperia 5 IV,rear_ultrawide,"1/2.5""",5.12,3.84,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_5_iv_rear_telephoto,Sony,Xperia 5 IV,rear_telephoto,"1/3.5""",3.657,2.743,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_5_v_rear_main,Sony,Xperia 5 V,rear_main,"1/1.35""",9.481,7.111,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_5_v_rear_ultrawide,Sony,Xperia 5 V,rear_ultrawide,"1/2.5""",5.12,3.84,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_10_iv_rear_main,Sony,Xperia 10 IV,rear_main,"1/2.8""",4.571,3.429,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_10_iv_rear_ultrawide,Sony,Xperia 10 IV,rear_ultrawide,"1/4.0""",3.2,2.4,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_10_iv_rear_telephoto,Sony,Xperia 10 IV,rear_telephoto,"1/4.4""",2.909,2.182,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_10_v_rear_main,Sony,Xperia 10 V,rear_main,"1/2.8""",4.571,3.429,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_10_v_rear_ultrawide,Sony,Xperia 10 V,rear_ultrawide,"1/4.0""",3.2,2.4,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_10_v_rear_telephoto,Sony,Xperia 10 V,rear_telephoto,"1/4.4""",2.909,2.182,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_10_vi_rear_main,Sony,Xperia 10 VI,rear_main,"1/2.0""",6.4,4.8,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
sony_xperia_10_vi_rear_ultrawide,Sony,Xperia 10 VI,rear_ultrawide,"1/4.0""",3.2,2.4,optical_format_conversion,provisional,compiled_spec_value,Compiled Xperia camera specification,,
nothing_phone_1_rear_main,Nothing,Phone (1),rear_main,"1/1.56""",8.205,6.154,optical_format_conversion,provisional,compiled_spec_value,Compiled Nothing camera specification,,
nothing_phone_1_rear_ultrawide,Nothing,Phone (1),rear_ultrawide,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled Nothing camera specification,,
nothing_phone_2_rear_main,Nothing,Phone (2),rear_main,"1/1.56""",8.205,6.154,optical_format_conversion,provisional,compiled_spec_value,Compiled Nothing camera specification,,
nothing_phone_2_rear_ultrawide,Nothing,Phone (2),rear_ultrawide,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled Nothing camera specification,,
nothing_phone_2a_rear_main,Nothing,Phone (2a),rear_main,"1/1.56""",8.205,6.154,optical_format_conversion,provisional,compiled_spec_value,Compiled Nothing camera specification,,
nothing_phone_2a_rear_ultrawide,Nothing,Phone (2a),rear_ultrawide,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled Nothing camera specification,,
nothing_phone_2a_plus_rear_main,Nothing,Phone (2a) Plus,rear_main,"1/1.56""",8.205,6.154,optical_format_conversion,provisional,compiled_spec_value,Compiled Nothing camera specification,,
nothing_phone_2a_plus_rear_ultrawide,Nothing,Phone (2a) Plus,rear_ultrawide,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled Nothing camera specification,,
nothing_phone_3a_rear_main,Nothing,Phone (3a),rear_main,"1/1.57""",8.153,6.115,optical_format_conversion,provisional,compiled_spec_value,Compiled Nothing camera specification,,
nothing_phone_3a_rear_ultrawide,Nothing,Phone (3a),rear_ultrawide,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled Nothing camera specification,,
nothing_phone_3a_rear_telephoto,Nothing,Phone (3a),rear_telephoto,"1/3.0""",4.267,3.2,optical_format_conversion,provisional,compiled_spec_value,Compiled Nothing camera specification,,
nothing_phone_3a_pro_rear_main,Nothing,Phone (3a) Pro,rear_main,"1/1.57""",8.153,6.115,optical_format_conversion,provisional,compiled_spec_value,Compiled Nothing camera specification,,
nothing_phone_3a_pro_rear_ultrawide,Nothing,Phone (3a) Pro,rear_ultrawide,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled Nothing camera specification,,
nothing_phone_3a_pro_rear_telephoto,Nothing,Phone (3a) Pro,rear_telephoto,"1/1.95""",6.564,4.923,optical_format_conversion,provisional,compiled_spec_value,Compiled Nothing camera specification,,
fairphone_fairphone_3_rear_main,Fairphone,Fairphone 3,rear_main,"1/2.55""",5.02,3.765,optical_format_conversion,provisional,compiled_spec_value,Compiled Fairphone camera specification,,
fairphone_fairphone_3_rear_main,Fairphone,Fairphone 3+,rear_main,"1/2.55""",5.02,3.765,optical_format_conversion,provisional,compiled_spec_value,Compiled Fairphone camera specification,,
fairphone_fairphone_4_rear_main,Fairphone,Fairphone 4,rear_main,"1/1.56""",8.205,6.154,optical_format_conversion,provisional,compiled_spec_value,Compiled Fairphone camera specification,,
fairphone_fairphone_4_rear_ultrawide,Fairphone,Fairphone 4,rear_ultrawide,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled Fairphone camera specification,,
fairphone_fairphone_5_rear_main,Fairphone,Fairphone 5,rear_main,"1/1.56""",8.205,6.154,optical_format_conversion,provisional,compiled_spec_value,Compiled Fairphone camera specification,,
fairphone_fairphone_5_rear_ultrawide,Fairphone,Fairphone 5,rear_ultrawide,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled Fairphone camera specification,,
fairphone_fairphone_gen_6_rear_main,Fairphone,Fairphone (Gen. 6),rear_main,"1/1.56""",8.205,6.154,optical_format_conversion,provisional,compiled_spec_value,Compiled Fairphone camera specification,,
fairphone_fairphone_gen_6_rear_ultrawide,Fairphone,Fairphone (Gen. 6),rear_ultrawide,"1/2.76""",4.638,3.478,optical_format_conversion,provisional,compiled_spec_value,Compiled Fairphone camera specification,,
asus_zenfone_9_rear_main,ASUS,Zenfone 9,rear_main,"1/1.56""",8.205,6.154,optical_format_conversion,provisional,compiled_spec_value,Compiled ASUS camera specification,,
asus_zenfone_9_rear_ultrawide,ASUS,Zenfone 9,rear_ultrawide,"1/2.55""",5.02,3.765,optical_format_conversion,provisional,compiled_spec_value,Compiled ASUS camera specification,,
asus_zenfone_10_rear_main,ASUS,Zenfone 10,rear_main,"1/1.56""",8.205,6.154,optical_format_conversion,provisional,compiled_spec_value,Compiled ASUS camera specification,,
asus_zenfone_10_rear_ultrawide,ASUS,Zenfone 10,rear_ultrawide,"1/2.55""",5.02,3.765,optical_format_conversion,provisional,compiled_spec_value,Compiled ASUS camera specification,,
asus_zenfone_11_ultra_rear_main,ASUS,Zenfone 11 Ultra,rear_main,"1/1.56""",8.205,6.154,optical_format_conversion,provisional,compiled_spec_value,Compiled ASUS camera specification,,
asus_zenfone_11_ultra_rear_ultrawide,ASUS,Zenfone 11 Ultra,rear_ultrawide,"1/2.55""",5.02,3.765,optical_format_conversion,provisional,compiled_spec_value,Compiled ASUS camera specification,,
asus_rog_phone_6_rear_main,ASUS,ROG Phone 6,rear_main,"1/1.56""",8.205,6.154,optical_format_conversion,provisional,compiled_spec_value,Compiled ASUS camera specification,,
asus_rog_phone_6_rear_ultrawide,ASUS,ROG Phone 6,rear_ultrawide,"1/2.55""",5.02,3.765,optical_format_conversion,provisional,compiled_spec_value,Compiled ASUS camera specification,,
asus_rog_phone_7_rear_main,ASUS,ROG Phone 7,rear_main,"1/1.56""",8.205,6.154,optical_format_conversion,provisional,compiled_spec_value,Compiled ASUS camera specification,,
asus_rog_phone_7_rear_ultrawide,ASUS,ROG Phone 7,rear_ultrawide,"1/2.55""",5.02,3.765,optical_format_conversion,provisional,compiled_spec_value,Compiled ASUS camera specification,,
asus_rog_phone_8_rear_main,ASUS,ROG Phone 8,rear_main,"1/1.56""",8.205,6.154,optical_format_conversion,provisional,compiled_spec_value,Compiled ASUS camera specification,,
asus_rog_phone_8_rear_ultrawide,ASUS,ROG Phone 8,rear_ultrawide,"1/2.55""",5.02,3.765,optical_format_conversion,provisional,compiled_spec_value,Compiled ASUS camera specification,,
asus_rog_phone_9_rear_main,ASUS,ROG Phone 9,rear_main,"1/1.56""",8.205,6.154,optical_format_conversion,provisional,compiled_spec_value,Compiled ASUS camera specification,,
asus_rog_phone_9_rear_ultrawide,ASUS,ROG Phone 9,rear_ultrawide,"1/2.55""",5.02,3.765,optical_format_conversion,provisional,compiled_spec_value,Compiled ASUS camera specification,,
