id,manufacturer,device,platform_priority,module_role,sensor_width_mm,sensor_height_mm,dimension_method,confidence,source_title,source_url,notes
apple_iphone_12_pro_max_rear_ultrawide,Apple,iPhone 12 Pro Max,current_os_supported,rear_ultrawide,4.0,3.0,optical_format_conversion,probable,Compiled camera specification,https://www.phonearena.com/phones/Apple-iPhone-12-Pro_id11294,Same generation ultrawide class.
apple_iphone_12_pro_max_rear_telephoto,Apple,iPhone 12 Pro Max,current_os_supported,rear_telephoto,4.0,3.0,optical_format_conversion,provisional,Compiled camera specification,,65 mm-equivalent module; exact active dimensions need source audit.
apple_iphone_13_mini_rear_main,Apple,iPhone 13 mini,current_os_supported,rear_main,6.85,5.14,area_reconstruction,probable,DPReview,https://www.dpreview.com/articles/6780391159/all-apple-iphone-13-and-13-pro-camera-upgrades-explained/,DPReview reports 35.2 mm² / Type 1/1.9; normalized to ~4:3 dimensions.
apple_iphone_13_mini_rear_ultrawide,Apple,iPhone 13 mini,current_os_supported,rear_ultrawide,4.0,3.0,optical_format_conversion,probable,DPReview,https://www.dpreview.com/articles/6780391159/all-apple-iphone-13-and-13-pro-camera-upgrades-explained/,DPReview reports ~12.2 mm² / Type 1/3.4.
apple_iphone_13_rear_main,Apple,iPhone 13,current_os_supported,rear_main,6.85,5.14,area_reconstruction,probable,DPReview,https://www.dpreview.com/articles/6780391159/all-apple-iphone-13-and-13-pro-camera-upgrades-explained/,DPReview reports 35.2 mm² / Type 1/1.9; normalized to ~4:3 dimensions.
apple_iphone_13_rear_ultrawide,Apple,iPhone 13,current_os_supported,rear_ultrawide,4.0,3.0,optical_format_conversion,probable,DPReview,https://www.dpreview.com/articles/6780391159/all-apple-iphone-13-and-13-pro-camera-upgrades-explained/,DPReview reports ~12.2 mm² / Type 1/3.4.
apple_iphone_13_pro_rear_main,Apple,iPhone 13 Pro,current_os_supported,rear_main,7.6,5.7,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,DPReview publishes 7.6 × 5.7 mm.
apple_iphone_13_pro_rear_ultrawide,Apple,iPhone 13 Pro,current_os_supported,rear_ultrawide,4.0,3.0,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,DPReview publishes 4 × 3 mm.
apple_iphone_13_pro_rear_telephoto,Apple,iPhone 13 Pro,current_os_supported,rear_telephoto,4.0,3.0,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,DPReview publishes 4 × 3 mm.
apple_iphone_13_pro_max_rear_main,Apple,iPhone 13 Pro Max,current_os_supported,rear_main,7.6,5.7,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,DPReview publishes 7.6 × 5.7 mm.
apple_iphone_13_pro_max_rear_ultrawide,Apple,iPhone 13 Pro Max,current_os_supported,rear_ultrawide,4.0,3.0,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,DPReview publishes 4 × 3 mm.
apple_iphone_13_pro_max_rear_telephoto,Apple,iPhone 13 Pro Max,current_os_supported,rear_telephoto,4.0,3.0,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,DPReview publishes 4 × 3 mm.
apple_iphone_14_rear_main,Apple,iPhone 14,current_os_supported,rear_main,7.6,5.7,family_carryover,provisional,Compiled camera specification,,Reported as inherited large 12 MP main-camera generation; requires direct source audit.
apple_iphone_14_rear_ultrawide,Apple,iPhone 14,current_os_supported,rear_ultrawide,4.0,3.0,optical_format_conversion,provisional,Compiled camera specification,,Requires direct source audit.
apple_iphone_14_plus_rear_main,Apple,iPhone 14 Plus,current_os_supported,rear_main,7.6,5.7,family_carryover,provisional,Compiled camera specification,,Reported as inherited large 12 MP main-camera generation; requires direct source audit.
apple_iphone_14_plus_rear_ultrawide,Apple,iPhone 14 Plus,current_os_supported,rear_ultrawide,4.0,3.0,optical_format_conversion,provisional,Compiled camera specification,,Requires direct source audit.
apple_iphone_14_pro_rear_main,Apple,iPhone 14 Pro,current_os_supported,rear_main,9.8,7.3,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/articles/apples-iphone-14-and-14-pro-imaging-tech-examined/,DPReview publishes 9.8 × 7.3 mm.
apple_iphone_14_pro_rear_ultrawide,Apple,iPhone 14 Pro,current_os_supported,rear_ultrawide,5.6,4.2,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/articles/apples-iphone-14-and-14-pro-imaging-tech-examined/,DPReview publishes 5.6 × 4.2 mm.
apple_iphone_14_pro_rear_telephoto,Apple,iPhone 14 Pro,current_os_supported,rear_telephoto,4.0,3.0,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/articles/apples-iphone-14-and-14-pro-imaging-tech-examined/,DPReview publishes 4 × 3 mm.
apple_iphone_14_pro_max_rear_main,Apple,iPhone 14 Pro Max,current_os_supported,rear_main,9.8,7.3,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/articles/apples-iphone-14-and-14-pro-imaging-tech-examined/,DPReview publishes 9.8 × 7.3 mm.
apple_iphone_14_pro_max_rear_ultrawide,Apple,iPhone 14 Pro Max,current_os_supported,rear_ultrawide,5.6,4.2,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/articles/apples-iphone-14-and-14-pro-imaging-tech-examined/,DPReview publishes 5.6 × 4.2 mm.
apple_iphone_14_pro_max_rear_telephoto,Apple,iPhone 14 Pro Max,current_os_supported,rear_telephoto,4.0,3.0,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/articles/apples-iphone-14-and-14-pro-imaging-tech-examined/,DPReview publishes 4 × 3 mm.
apple_iphone_15_rear_main,Apple,iPhone 15,current_os_supported,rear_main,8.0,6.0,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/articles/apple-s-iphone-15-and-15-pro-imaging-tech-examined/,DPReview publishes 8 × 6 mm.
apple_iphone_15_rear_ultrawide,Apple,iPhone 15,current_os_supported,rear_ultrawide,4.0,3.0,family_carryover,provisional,Compiled camera specification,,Needs direct source audit.
apple_iphone_15_plus_rear_main,Apple,iPhone 15 Plus,current_os_supported,rear_main,8.0,6.0,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/articles/apple-s-iphone-15-and-15-pro-imaging-tech-examined/,DPReview publishes 8 × 6 mm.
apple_iphone_15_plus_rear_ultrawide,Apple,iPhone 15 Plus,current_os_supported,rear_ultrawide,4.0,3.0,family_carryover,provisional,Compiled camera specification,,Needs direct source audit.
apple_iphone_15_pro_rear_main,Apple,iPhone 15 Pro,current_os_supported,rear_main,9.8,7.3,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/articles/apple-s-iphone-15-and-15-pro-imaging-tech-examined/,DPReview publishes 9.8 × 7.3 mm.
apple_iphone_15_pro_rear_ultrawide,Apple,iPhone 15 Pro,current_os_supported,rear_ultrawide,5.6,4.2,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,DPReview comparison publishes Type 1/2.55 / 5.6 × 4.2 mm.
apple_iphone_15_pro_rear_telephoto,Apple,iPhone 15 Pro,current_os_supported,rear_telephoto,4.0,3.0,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,DPReview publishes 4 × 3 mm.
apple_iphone_15_pro_max_rear_main,Apple,iPhone 15 Pro Max,current_os_supported,rear_main,9.8,7.3,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/articles/apple-s-iphone-15-and-15-pro-imaging-tech-examined/,Same main sensor geometry as 15 Pro.
apple_iphone_15_pro_max_rear_ultrawide,Apple,iPhone 15 Pro Max,current_os_supported,rear_ultrawide,5.6,4.2,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,Type 1/2.55.
apple_iphone_15_pro_max_rear_telephoto,Apple,iPhone 15 Pro Max,current_os_supported,rear_telephoto,4.5,3.4,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,DPReview comparison publishes 4.5 × 3.4 mm.
apple_iphone_16_rear_main,Apple,iPhone 16,current_os_supported,rear_main,8.0,6.0,optical_format_conversion,probable,PhoneArena,https://origin.phonearena.com/phones/Apple-iPhone-16_id12240,Source reports Type 1/1.56; normalized ~8 × 6 mm.
apple_iphone_16_rear_ultrawide,Apple,iPhone 16,current_os_supported,rear_ultrawide,,,unresolved,research_needed,Apple / secondary audit needed,,Physical active sensor dimensions not yet established reliably.
apple_iphone_16_plus_rear_main,Apple,iPhone 16 Plus,current_os_supported,rear_main,8.0,6.0,optical_format_conversion,probable,PhoneArena,https://origin.phonearena.com/phones/Apple-iPhone-16_id12240,Source reports Type 1/1.56; normalized ~8 × 6 mm.
apple_iphone_16_plus_rear_ultrawide,Apple,iPhone 16 Plus,current_os_supported,rear_ultrawide,,,unresolved,research_needed,Apple / secondary audit needed,,Physical active sensor dimensions not yet established reliably.
apple_iphone_16e_rear_main,Apple,iPhone 16e,current_os_supported,rear_main,8.0,6.0,family_estimate,provisional,Compiled camera specification,,48 MP 26 mm Fusion main; likely Type 1/1.56 class but requires source confirmation.
apple_iphone_16_pro_rear_main,Apple,iPhone 16 Pro,current_os_supported,rear_main,9.8,7.3,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,DPReview publishes 9.8 × 7.3 mm.
apple_iphone_16_pro_rear_ultrawide,Apple,iPhone 16 Pro,current_os_supported,rear_ultrawide,5.6,4.2,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,DPReview publishes 5.6 × 4.2 mm.
apple_iphone_16_pro_rear_telephoto,Apple,iPhone 16 Pro,current_os_supported,rear_telephoto,4.5,3.4,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,DPReview publishes 4.5 × 3.4 mm.
apple_iphone_16_pro_max_rear_main,Apple,iPhone 16 Pro Max,current_os_supported,rear_main,9.8,7.3,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,DPReview publishes 9.8 × 7.3 mm.
apple_iphone_16_pro_max_rear_ultrawide,Apple,iPhone 16 Pro Max,current_os_supported,rear_ultrawide,5.6,4.2,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,DPReview publishes 5.6 × 4.2 mm.
apple_iphone_16_pro_max_rear_telephoto,Apple,iPhone 16 Pro Max,current_os_supported,rear_telephoto,4.5,3.4,direct_mm_secondary,probable,DPReview,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,DPReview publishes 4.5 × 3.4 mm.
apple_iphone_17_rear_main,Apple,iPhone 17,current_os_supported,rear_main,8.0,6.0,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/compare/Apple-iPhone-12-Pro%2CApple-iPhone-17/phones/11294%2C12493,Source reports Type 1/1.56.
apple_iphone_17_rear_ultrawide,Apple,iPhone 17,current_os_supported,rear_ultrawide,5.6,4.2,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/compare/Apple-iPhone-12-Pro%2CApple-iPhone-17/phones/11294%2C12493,Source reports Type 1/2.55.
apple_iphone_air_rear_main,Apple,iPhone Air,current_os_supported,rear_main,8.0,6.0,optical_format_conversion,probable,PhoneArena,https://www.phonearena.com/phones/Apple-iPhone-Air_id12559,Source reports Type 1/1.56.
apple_iphone_17e_rear_main,Apple,iPhone 17e,current_os_supported,rear_main,,,unresolved,research_needed,Apple tech specs,https://www.apple.com/iphone-17e/specs/,Apple confirms physical camera role/specification but does not publish active sensor mm.
apple_iphone_17_pro_rear_main,Apple,iPhone 17 Pro,current_os_supported,rear_main,9.8,7.3,optical_format_conversion,probable,PhoneArena,https://origin.phonearena.com/phones/Apple-iPhone-17-Pro_id12495,Source reports Type 1/1.28.
apple_iphone_17_pro_rear_ultrawide,Apple,iPhone 17 Pro,current_os_supported,rear_ultrawide,5.6,4.2,optical_format_conversion,probable,PhoneArena,https://origin.phonearena.com/phones/Apple-iPhone-17-Pro_id12495,Source reports Type 1/2.55.
apple_iphone_17_pro_rear_telephoto,Apple,iPhone 17 Pro,current_os_supported,rear_telephoto,5.6,4.2,optical_format_conversion,probable,PhoneArena,https://origin.phonearena.com/phones/Apple-iPhone-17-Pro_id12495,Source reports Type 1/2.55.
apple_iphone_17_pro_max_rear_main,Apple,iPhone 17 Pro Max,current_os_supported,rear_main,9.8,7.3,optical_format_conversion,probable,PhoneArena,https://origin.phonearena.com/phones/Apple-iPhone-17-Pro_id12495,Source reports Type 1/1.28.
apple_iphone_17_pro_max_rear_ultrawide,Apple,iPhone 17 Pro Max,current_os_supported,rear_ultrawide,5.6,4.2,optical_format_conversion,probable,PhoneArena,https://origin.phonearena.com/phones/Apple-iPhone-17-Pro_id12495,Source reports Type 1/2.55.
apple_iphone_17_pro_max_rear_telephoto,Apple,iPhone 17 Pro Max,current_os_supported,rear_telephoto,5.6,4.2,optical_format_conversion,probable,PhoneArena,https://origin.phonearena.com/phones/Apple-iPhone-17-Pro_id12495,Source reports Type 1/2.55.
apple_iphone_18_pro_rear_main,Apple,iPhone 18 Pro,current_os_supported,rear_main,9.8,7.3,optical_format_conversion,probable,DPReview current Pro comparison,https://www.dpreview.com/articles/iphone-pro-camera-upgrade-guide/,DPReview reports Type 1/1.28 / 71.5 mm²; dimensions normalized to established 9.8 × 7.3 mm geometry.
apple_iphone_18_pro_rear_ultrawide,Apple,iPhone 18 Pro,current_os_supported,rear_ultrawide,5.6,4.2,optical_format_conversion,probable,DPReview current Pro comparison,https://www.dpreview.com/articles/iphone-pro-camera-upgrade-guide/,DPReview reports Type 1/2.55.
apple_iphone_18_pro_rear_telephoto,Apple,iPhone 18 Pro,current_os_supported,rear_telephoto,5.6,4.2,optical_format_conversion,probable,DPReview current Pro comparison,https://www.dpreview.com/articles/iphone-pro-camera-upgrade-guide/,Current 48 MP telephoto module; Type 1/2.55 class per current comparison.
apple_iphone_18_pro_max_rear_main,Apple,iPhone 18 Pro Max,current_os_supported,rear_main,9.8,7.3,optical_format_conversion,probable,DPReview current Pro comparison,https://www.dpreview.com/articles/iphone-pro-camera-upgrade-guide/,DPReview reports Type 1/1.28 / 71.5 mm²; dimensions normalized to established 9.8 × 7.3 mm geometry.
apple_iphone_18_pro_max_rear_ultrawide,Apple,iPhone 18 Pro Max,current_os_supported,rear_ultrawide,5.6,4.2,optical_format_conversion,probable,DPReview current Pro comparison,https://www.dpreview.com/articles/iphone-pro-camera-upgrade-guide/,DPReview reports Type 1/2.55.
apple_iphone_18_pro_max_rear_telephoto,Apple,iPhone 18 Pro Max,current_os_supported,rear_telephoto,5.6,4.2,optical_format_conversion,probable,DPReview current Pro comparison,https://www.dpreview.com/articles/iphone-pro-camera-upgrade-guide/,Current 48 MP telephoto module; Type 1/2.55 class per current comparison.
