record_id,record_class,manufacturer,device_model,device_variant,module_role,sensor_model,sensor_width_mm,sensor_height_mm,sensor_diagonal_mm,source_observation,provenance_method,evidence_tier,lcrd_status,tps_use,original_confidence,original_verification_status,source_title,source_url,usage_note,qa_flags,notes,coverage_priority,cutoff_reason,cutoff_note,audit_priority,qa_pass4_flags,freeze_qa_flags,v0_1_release_status
canon_eos_250d,dedicated_camera,Canon,EOS 250D,,main,,22.3,14.8,26.7643,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_4000d,dedicated_camera,Canon,EOS 4000D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_40d,dedicated_camera,Canon,EOS 40D,,main,,22.2,14.8,26.6811,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_450d,dedicated_camera,Canon,EOS 450D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_500d,dedicated_camera,Canon,EOS 500D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_50d,dedicated_camera,Canon,EOS 50D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_550d,dedicated_camera,Canon,EOS 550D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_5d_mark_ii,dedicated_camera,Canon,EOS 5D Mark II,,main,,36.0,24.0,43.2666,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_5d_mark_iii,dedicated_camera,Canon,EOS 5D Mark III,,main,,36.0,24.0,43.2666,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_5d_mark_iv,dedicated_camera,Canon,EOS 5D Mark IV,,main,,36.0,24.0,43.2666,,published,C,good_reference,yes,confirmed,primary_source_verified_previous_pass,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_5ds,dedicated_camera,Canon,EOS 5Ds,,main,,36.0,24.0,43.2666,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_5ds_r,dedicated_camera,Canon,EOS 5Ds R,,main,,36.0,24.0,43.2666,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_600d,dedicated_camera,Canon,EOS 600D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_60d,dedicated_camera,Canon,EOS 60D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_60da,dedicated_camera,Canon,EOS 60Da,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_650d,dedicated_camera,Canon,EOS 650D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_6d,dedicated_camera,Canon,EOS 6D,,main,,35.8,23.9,43.0447,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_6d_mark_ii,dedicated_camera,Canon,EOS 6D Mark II,,main,,35.9,24.0,43.1834,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_700d,dedicated_camera,Canon,EOS 700D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_70d,dedicated_camera,Canon,EOS 70D,,main,,22.5,15.0,27.0416,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_750d,dedicated_camera,Canon,EOS 750D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_760d,dedicated_camera,Canon,EOS 760D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_77d,dedicated_camera,Canon,EOS 77D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_7d,dedicated_camera,Canon,EOS 7D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_7d_mark_ii,dedicated_camera,Canon,EOS 7D Mark II,,main,,22.4,15.0,26.9585,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_800d,dedicated_camera,Canon,EOS 800D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_80d,dedicated_camera,Canon,EOS 80D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_850d,dedicated_camera,Canon,EOS 850D,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_90d,dedicated_camera,Canon,EOS 90D,,main,,22.3,14.8,26.7643,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_c50,dedicated_camera,Canon,EOS C50,,main,,35.9,23.9,43.1279,,published,A,verified,yes,confirmed,primary_source_verified,Canon EOS C50 specifications,https://www.usa.canon.com/support/p/eos-c50,Use automatically.,,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P3_verified_or_secondary,,,ship
canon_eos_m200,dedicated_camera,Canon,EOS M200,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_m50,dedicated_camera,Canon,EOS M50,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_m50_mark_ii,dedicated_camera,Canon,EOS M50 Mark II,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications / technical database,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_m6_mark_ii,dedicated_camera,Canon,EOS M6 Mark II,,main,,22.3,14.8,26.7643,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_r,dedicated_camera,Canon,EOS R,,main,,36.0,24.0,43.2666,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_r1,dedicated_camera,Canon,EOS R1,,main,,36.0,24.0,43.2666,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_r10,dedicated_camera,Canon,EOS R10,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_r100,dedicated_camera,Canon,EOS R100,,main,,22.3,14.9,26.8198,,published,A,verified,yes,confirmed,primary_source_verified,Canon specifications,https://www.usa.canon.com/support/p/eos-r100,Use automatically.,,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P3_verified_or_secondary,,,ship
canon_eos_r3,dedicated_camera,Canon,EOS R3,,main,,36.0,24.0,43.2666,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_r5,dedicated_camera,Canon,EOS R5,,main,,36.0,24.0,43.2666,,published,C,good_reference,yes,confirmed,primary_source_verified_previous_pass,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_r5_c,dedicated_camera,Canon,EOS R5 C,,main,,36.0,24.0,43.2666,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_r5_mark_ii,dedicated_camera,Canon,EOS R5 Mark II,,main,,36.0,24.0,43.2666,,published,C,good_reference,yes,confirmed,primary_source_verified_previous_pass,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_r50,dedicated_camera,Canon,EOS R50,,main,,22.3,14.9,26.8198,,published,A,verified,yes,confirmed,primary_source_verified,Canon specifications,https://www.usa.canon.com/support/p/eos-r50,Use automatically.,,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P3_verified_or_secondary,,,ship
canon_eos_r50_v,dedicated_camera,Canon,EOS R50 V,,main,,22.3,14.9,26.8198,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_r6,dedicated_camera,Canon,EOS R6,,main,,35.9,23.9,43.1279,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_r6_mark_ii,dedicated_camera,Canon,EOS R6 Mark II,,main,,35.9,23.9,43.1279,,published,C,good_reference,yes,confirmed,primary_source_verified_previous_pass,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_r6_mark_iii,dedicated_camera,Canon,EOS R6 Mark III,,main,,35.9,23.9,43.1279,,published,A,verified,yes,confirmed,primary_source_verified,Canon specifications,https://www.usa.canon.com/support/p/eos-r6-mark-iii,Use automatically.,,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P3_verified_or_secondary,,,ship
canon_eos_r6_mark_v,dedicated_camera,Canon,EOS R6 V,,main,,35.9,23.9,43.1279,,published,A,verified,yes,confirmed,primary_source_verified,Canon EOS R6 V Product Manual — Specifications,https://cam.start.canon/en/C023/manual/html/UG-11_Reference_0080.html,Use automatically.,,Dragonframe currently labels this entry EOS R6 Mark V; Canon product/manual name is EOS R6 V. Preserve Dragonframe alias.,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P3_verified_or_secondary,,,ship
canon_eos_r7,dedicated_camera,Canon,EOS R7,,main,,22.3,14.8,26.7643,,published,C,good_reference,yes,confirmed,primary_source_verified_previous_pass,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_r8,dedicated_camera,Canon,EOS R8,,main,,35.9,23.9,43.1279,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
canon_eos_rp,dedicated_camera,Canon,EOS RP,,main,,35.9,23.9,43.1279,,published,C,good_reference,yes,confirmed,compiled_spec_value,Canon specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
fujifilm_gfx_100,dedicated_camera,Fujifilm,GFX 100,,main,,43.8,32.9,54.78,,published,C,good_reference,yes,confirmed,primary_source_verified_previous_pass,Fujifilm specifications,,Good working value; source audit still desirable.,source_url_missing,physical_camera,primary,dragonframe_current_coverage,Keep and audit: normalized from current Dragonframe-supported camera coverage.,P2_source_strengthen,source_url_missing,,ship
