aliases,audit_priority,confidence,coverage_class,coverage_priority,cutoff_note,cutoff_reason,device,device_model,device_variant,dimension_method,dimension_status,dragonframe_supported,evidence_tier,freeze_qa_flags,id,kind,lcrd_status,manufacturer,model,module_role,notes,observation_id,optical_format,original_confidence,original_verification_status,platform_priority,provenance_method,qa_flags,qa_pass4_flags,record_class,record_id,sensor_diagonal_mm,sensor_height_mm,sensor_model,sensor_name,sensor_width_mm,source_id,source_note,source_observation,source_title,source_type,source_url,subject_id,tps_use,usage_note,v0_1_release_status,verification_status
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 12 Pro Max,,,,,B,,,camera_reference_freeze,strong_derived,Apple,,rear_main,Apple states 47% larger than 12 Pro and 1.7 µm pixels; normalized active dimensions.,observation:apple-iphone-12-pro-max-rear-main,,probable,,,area_and_pixel_pitch_reconstruction,,,mobile_camera_module,apple_iphone_12_pro_max_rear_main,8.564,5.14,,,6.85,source:apple-dpreview-compiled:06b3b4d89e0cb684,,,Apple/DPReview compiled,,https://www.apple.com/newsroom/2020/10/apple-introduces-iphone-12-pro-and-iphone-12-pro-max-with-5g/,camera_module:apple:iphone-12-pro-max:rear-main,yes,Use automatically; preserve derivation provenance.,ship,
,P2_source_strengthen,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 12 Pro Max,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_telephoto,65 mm-equivalent module; exact active dimensions need source audit.,observation:apple-iphone-12-pro-max-rear-telephoto,,provisional,,,optical_format_conversion,source_url_missing,source_url_missing,mobile_camera_module,apple_iphone_12_pro_max_rear_telephoto,5.0,3.0,,,4.0,source:compiled-camera-specification:c898951b834ca74c,,,Compiled camera specification,,,camera_module:apple:iphone-12-pro-max:rear-telephoto,yes,Use automatically as estimated geometry; retain provenance and estimated status.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 12 Pro Max,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_ultrawide,Same generation ultrawide class.,observation:apple-iphone-12-pro-max-rear-ultrawide,,probable,,,optical_format_conversion,,,mobile_camera_module,apple_iphone_12_pro_max_rear_ultrawide,5.0,3.0,,,4.0,source:compiled-camera-specification:ace21a406b54aa15,,,Compiled camera specification,,https://www.phonearena.com/phones/Apple-iPhone-12-Pro_id11294,camera_module:apple:iphone-12-pro-max:rear-ultrawide,yes,Good estimate; UI may mark sensor geometry as estimated.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 12 Pro,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_main,Type 1/2.55 class.,observation:apple-iphone-12-pro-rear-main,,probable,,,optical_format_conversion,,,mobile_camera_module,apple_iphone_12_pro_rear_main,7.0,4.2,,,5.6,source:phonearena:0a39e7151262f169,,,PhoneArena,,https://www.phonearena.com/phones/Apple-iPhone-12-Pro_id11294,camera_module:apple:iphone-12-pro:rear-main,yes,Good estimate; UI may mark sensor geometry as estimated.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 12 Pro,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_telephoto,Type 1/3.4.,observation:apple-iphone-12-pro-rear-telephoto,,probable,,,optical_format_conversion,,,mobile_camera_module,apple_iphone_12_pro_rear_telephoto,5.0,3.0,,,4.0,source:phonearena:0a39e7151262f169,,,PhoneArena,,https://www.phonearena.com/phones/Apple-iPhone-12-Pro_id11294,camera_module:apple:iphone-12-pro:rear-telephoto,yes,Good estimate; UI may mark sensor geometry as estimated.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 12 Pro,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_ultrawide,Type ~1/3.4–1/3.6 class; exact active dimensions need audit.,observation:apple-iphone-12-pro-rear-ultrawide,,probable,,,optical_format_conversion,,,mobile_camera_module,apple_iphone_12_pro_rear_ultrawide,5.0,3.0,,,4.0,source:dxomark-phonearena:9749d5af351ea731,,,DXOMARK / PhoneArena,,https://www.phonearena.com/phones/Apple-iPhone-12-Pro_id11294,camera_module:apple:iphone-12-pro:rear-ultrawide,yes,Good estimate; UI may mark sensor geometry as estimated.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 12,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_main,Type 1/2.55 class.,observation:apple-iphone-12-rear-main,,probable,,,optical_format_conversion,,,mobile_camera_module,apple_iphone_12_rear_main,7.0,4.2,,,5.6,source:phonearena:0a39e7151262f169,,,PhoneArena,,https://www.phonearena.com/phones/Apple-iPhone-12-Pro_id11294,camera_module:apple:iphone-12:rear-main,yes,Good estimate; UI may mark sensor geometry as estimated.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 12,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_ultrawide,Type ~1/3.4–1/3.6 class; exact active dimensions need audit.,observation:apple-iphone-12-rear-ultrawide,,probable,,,optical_format_conversion,,,mobile_camera_module,apple_iphone_12_rear_ultrawide,5.0,3.0,,,4.0,source:dxomark-phonearena:9749d5af351ea731,,,DXOMARK / PhoneArena,,https://www.phonearena.com/phones/Apple-iPhone-12-Pro_id11294,camera_module:apple:iphone-12:rear-ultrawide,yes,Good estimate; UI may mark sensor geometry as estimated.,ship,
,P1_guess,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 13 mini,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_main,DPReview reports 35.2 mm² / Type 1/1.9; normalized to ~4:3 dimensions. v0.1 cutoff: retained as best-available working geometry; future source strengthening is non-blocking.,observation:apple-iphone-13-mini-rear-main,,probable,,,area_reconstruction,provisional_guess,provisional_guess,mobile_camera_module,apple_iphone_13_mini_rear_main,8.564,5.14,,,6.85,source:dpreview:6959baaf02eac9c6,,,DPReview,,https://www.dpreview.com/articles/6780391159/all-apple-iphone-13-and-13-pro-camera-upgrades-explained/,camera_module:apple:iphone-13-mini:rear-main,yes,Use automatically as estimated geometry; retain provenance and estimated status.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 13 mini,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_ultrawide,DPReview reports ~12.2 mm² / Type 1/3.4.,observation:apple-iphone-13-mini-rear-ultrawide,,probable,,,optical_format_conversion,,,mobile_camera_module,apple_iphone_13_mini_rear_ultrawide,5.0,3.0,,,4.0,source:dpreview:6959baaf02eac9c6,,,DPReview,,https://www.dpreview.com/articles/6780391159/all-apple-iphone-13-and-13-pro-camera-upgrades-explained/,camera_module:apple:iphone-13-mini:rear-ultrawide,yes,Good estimate; UI may mark sensor geometry as estimated.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 13 Pro Max,,,,,B,,,camera_reference_freeze,strong_derived,Apple,,rear_main,DPReview publishes 7.6 × 5.7 mm.,observation:apple-iphone-13-pro-max-rear-main,,probable,,,direct_mm_secondary,,,mobile_camera_module,apple_iphone_13_pro_max_rear_main,9.5,5.7,,,7.6,source:dpreview:48f3ee29b4c0f0df,,,DPReview,,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,camera_module:apple:iphone-13-pro-max:rear-main,yes,Use automatically; preserve derivation provenance.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 13 Pro Max,,,,,B,,,camera_reference_freeze,strong_derived,Apple,,rear_telephoto,DPReview publishes 4 × 3 mm.,observation:apple-iphone-13-pro-max-rear-telephoto,,probable,,,direct_mm_secondary,,,mobile_camera_module,apple_iphone_13_pro_max_rear_telephoto,5.0,3.0,,,4.0,source:dpreview:48f3ee29b4c0f0df,,,DPReview,,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,camera_module:apple:iphone-13-pro-max:rear-telephoto,yes,Use automatically; preserve derivation provenance.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 13 Pro Max,,,,,B,,,camera_reference_freeze,strong_derived,Apple,,rear_ultrawide,DPReview publishes 4 × 3 mm.,observation:apple-iphone-13-pro-max-rear-ultrawide,,probable,,,direct_mm_secondary,,,mobile_camera_module,apple_iphone_13_pro_max_rear_ultrawide,5.0,3.0,,,4.0,source:dpreview:48f3ee29b4c0f0df,,,DPReview,,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,camera_module:apple:iphone-13-pro-max:rear-ultrawide,yes,Use automatically; preserve derivation provenance.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 13 Pro,,,,,B,,,camera_reference_freeze,strong_derived,Apple,,rear_main,DPReview publishes 7.6 × 5.7 mm.,observation:apple-iphone-13-pro-rear-main,,probable,,,direct_mm_secondary,,,mobile_camera_module,apple_iphone_13_pro_rear_main,9.5,5.7,,,7.6,source:dpreview:48f3ee29b4c0f0df,,,DPReview,,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,camera_module:apple:iphone-13-pro:rear-main,yes,Use automatically; preserve derivation provenance.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 13 Pro,,,,,B,,,camera_reference_freeze,strong_derived,Apple,,rear_telephoto,DPReview publishes 4 × 3 mm.,observation:apple-iphone-13-pro-rear-telephoto,,probable,,,direct_mm_secondary,,,mobile_camera_module,apple_iphone_13_pro_rear_telephoto,5.0,3.0,,,4.0,source:dpreview:48f3ee29b4c0f0df,,,DPReview,,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,camera_module:apple:iphone-13-pro:rear-telephoto,yes,Use automatically; preserve derivation provenance.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 13 Pro,,,,,B,,,camera_reference_freeze,strong_derived,Apple,,rear_ultrawide,DPReview publishes 4 × 3 mm.,observation:apple-iphone-13-pro-rear-ultrawide,,probable,,,direct_mm_secondary,,,mobile_camera_module,apple_iphone_13_pro_rear_ultrawide,5.0,3.0,,,4.0,source:dpreview:48f3ee29b4c0f0df,,,DPReview,,https://www.dpreview.com/news/8163093616/iphone-16-pro-worth-upgrading-13-14-15-apple-cameras/,camera_module:apple:iphone-13-pro:rear-ultrawide,yes,Use automatically; preserve derivation provenance.,ship,
,P1_guess,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 13,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_main,DPReview reports 35.2 mm² / Type 1/1.9; normalized to ~4:3 dimensions. v0.1 cutoff: retained as best-available working geometry; future source strengthening is non-blocking.,observation:apple-iphone-13-rear-main,,probable,,,area_reconstruction,provisional_guess,provisional_guess,mobile_camera_module,apple_iphone_13_rear_main,8.564,5.14,,,6.85,source:dpreview:6959baaf02eac9c6,,,DPReview,,https://www.dpreview.com/articles/6780391159/all-apple-iphone-13-and-13-pro-camera-upgrades-explained/,camera_module:apple:iphone-13:rear-main,yes,Use automatically as estimated geometry; retain provenance and estimated status.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 13,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_ultrawide,DPReview reports ~12.2 mm² / Type 1/3.4.,observation:apple-iphone-13-rear-ultrawide,,probable,,,optical_format_conversion,,,mobile_camera_module,apple_iphone_13_rear_ultrawide,5.0,3.0,,,4.0,source:dpreview:6959baaf02eac9c6,,,DPReview,,https://www.dpreview.com/articles/6780391159/all-apple-iphone-13-and-13-pro-camera-upgrades-explained/,camera_module:apple:iphone-13:rear-ultrawide,yes,Good estimate; UI may mark sensor geometry as estimated.,ship,
,P2_source_strengthen,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 14 Plus,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_main,Reported as inherited large 12 MP main-camera generation; requires direct source audit.,observation:apple-iphone-14-plus-rear-main,,provisional,,,family_carryover,source_url_missing,source_url_missing,mobile_camera_module,apple_iphone_14_plus_rear_main,9.5,5.7,,,7.6,source:compiled-camera-specification:c898951b834ca74c,,,Compiled camera specification,,,camera_module:apple:iphone-14-plus:rear-main,yes,Use automatically as estimated geometry; retain provenance and estimated status.,ship,
,P2_source_strengthen,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 14 Plus,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_ultrawide,Requires direct source audit.,observation:apple-iphone-14-plus-rear-ultrawide,,provisional,,,optical_format_conversion,source_url_missing,source_url_missing,mobile_camera_module,apple_iphone_14_plus_rear_ultrawide,5.0,3.0,,,4.0,source:compiled-camera-specification:c898951b834ca74c,,,Compiled camera specification,,,camera_module:apple:iphone-14-plus:rear-ultrawide,yes,Use automatically as estimated geometry; retain provenance and estimated status.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 14 Pro Max,,,,,B,,,camera_reference_freeze,strong_derived,Apple,,rear_main,DPReview publishes 9.8 × 7.3 mm.,observation:apple-iphone-14-pro-max-rear-main,,probable,,,direct_mm_secondary,,,mobile_camera_module,apple_iphone_14_pro_max_rear_main,12.2201,7.3,,,9.8,source:dpreview:24e153a5783f91e7,,,DPReview,,https://www.dpreview.com/articles/apples-iphone-14-and-14-pro-imaging-tech-examined/,camera_module:apple:iphone-14-pro-max:rear-main,yes,Use automatically; preserve derivation provenance.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 14 Pro Max,,,,,B,,,camera_reference_freeze,strong_derived,Apple,,rear_telephoto,DPReview publishes 4 × 3 mm.,observation:apple-iphone-14-pro-max-rear-telephoto,,probable,,,direct_mm_secondary,,,mobile_camera_module,apple_iphone_14_pro_max_rear_telephoto,5.0,3.0,,,4.0,source:dpreview:24e153a5783f91e7,,,DPReview,,https://www.dpreview.com/articles/apples-iphone-14-and-14-pro-imaging-tech-examined/,camera_module:apple:iphone-14-pro-max:rear-telephoto,yes,Use automatically; preserve derivation provenance.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 14 Pro Max,,,,,B,,,camera_reference_freeze,strong_derived,Apple,,rear_ultrawide,DPReview publishes 5.6 × 4.2 mm.,observation:apple-iphone-14-pro-max-rear-ultrawide,,probable,,,direct_mm_secondary,,,mobile_camera_module,apple_iphone_14_pro_max_rear_ultrawide,7.0,4.2,,,5.6,source:dpreview:24e153a5783f91e7,,,DPReview,,https://www.dpreview.com/articles/apples-iphone-14-and-14-pro-imaging-tech-examined/,camera_module:apple:iphone-14-pro-max:rear-ultrawide,yes,Use automatically; preserve derivation provenance.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 14 Pro,,,,,B,,,camera_reference_freeze,strong_derived,Apple,,rear_main,DPReview publishes 9.8 × 7.3 mm.,observation:apple-iphone-14-pro-rear-main,,probable,,,direct_mm_secondary,,,mobile_camera_module,apple_iphone_14_pro_rear_main,12.2201,7.3,,,9.8,source:dpreview:24e153a5783f91e7,,,DPReview,,https://www.dpreview.com/articles/apples-iphone-14-and-14-pro-imaging-tech-examined/,camera_module:apple:iphone-14-pro:rear-main,yes,Use automatically; preserve derivation provenance.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 14 Pro,,,,,B,,,camera_reference_freeze,strong_derived,Apple,,rear_telephoto,DPReview publishes 4 × 3 mm.,observation:apple-iphone-14-pro-rear-telephoto,,probable,,,direct_mm_secondary,,,mobile_camera_module,apple_iphone_14_pro_rear_telephoto,5.0,3.0,,,4.0,source:dpreview:24e153a5783f91e7,,,DPReview,,https://www.dpreview.com/articles/apples-iphone-14-and-14-pro-imaging-tech-examined/,camera_module:apple:iphone-14-pro:rear-telephoto,yes,Use automatically; preserve derivation provenance.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 14 Pro,,,,,B,,,camera_reference_freeze,strong_derived,Apple,,rear_ultrawide,DPReview publishes 5.6 × 4.2 mm.,observation:apple-iphone-14-pro-rear-ultrawide,,probable,,,direct_mm_secondary,,,mobile_camera_module,apple_iphone_14_pro_rear_ultrawide,7.0,4.2,,,5.6,source:dpreview:24e153a5783f91e7,,,DPReview,,https://www.dpreview.com/articles/apples-iphone-14-and-14-pro-imaging-tech-examined/,camera_module:apple:iphone-14-pro:rear-ultrawide,yes,Use automatically; preserve derivation provenance.,ship,
,P2_source_strengthen,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 14,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_main,Reported as inherited large 12 MP main-camera generation; requires direct source audit.,observation:apple-iphone-14-rear-main,,provisional,,,family_carryover,source_url_missing,source_url_missing,mobile_camera_module,apple_iphone_14_rear_main,9.5,5.7,,,7.6,source:compiled-camera-specification:c898951b834ca74c,,,Compiled camera specification,,,camera_module:apple:iphone-14:rear-main,yes,Use automatically as estimated geometry; retain provenance and estimated status.,ship,
,P2_source_strengthen,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 14,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_ultrawide,Requires direct source audit.,observation:apple-iphone-14-rear-ultrawide,,provisional,,,optical_format_conversion,source_url_missing,source_url_missing,mobile_camera_module,apple_iphone_14_rear_ultrawide,5.0,3.0,,,4.0,source:compiled-camera-specification:c898951b834ca74c,,,Compiled camera specification,,,camera_module:apple:iphone-14:rear-ultrawide,yes,Use automatically as estimated geometry; retain provenance and estimated status.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 15 Plus,,,,,B,,,camera_reference_freeze,strong_derived,Apple,,rear_main,DPReview publishes 8 × 6 mm.,observation:apple-iphone-15-plus-rear-main,,probable,,,direct_mm_secondary,,,mobile_camera_module,apple_iphone_15_plus_rear_main,10.0,6.0,,,8.0,source:dpreview:8214c7f843e80088,,,DPReview,,https://www.dpreview.com/articles/apple-s-iphone-15-and-15-pro-imaging-tech-examined/,camera_module:apple:iphone-15-plus:rear-main,yes,Use automatically; preserve derivation provenance.,ship,
,P2_source_strengthen,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 15 Plus,,,,,C,,,camera_reference_freeze,good_estimate,Apple,,rear_ultrawide,Needs direct source audit.,observation:apple-iphone-15-plus-rear-ultrawide,,provisional,,,family_carryover,source_url_missing,source_url_missing,mobile_camera_module,apple_iphone_15_plus_rear_ultrawide,5.0,3.0,,,4.0,source:compiled-camera-specification:c898951b834ca74c,,,Compiled camera specification,,,camera_module:apple:iphone-15-plus:rear-ultrawide,yes,Use automatically as estimated geometry; retain provenance and estimated status.,ship,
,P3_verified_or_secondary,,,primary,Current iOS-family coverage target; audit before expanding older Apple hardware.,current_ios_compatible,,iPhone 15 Pro Max,,,,,B,,,camera_reference_freeze,strong_derived,Apple,,rear_main,Same main sensor geometry as 15 Pro.,observation:apple-iphone-15-pro-max-rear-main,,probable,,,direct_mm_secondary,,,mobile_camera_module,apple_iphone_15_pro_max_rear_main,12.2201,7.3,,,9.8,source:dpreview:8214c7f843e80088,,,DPReview,,https://www.dpreview.com/articles/apple-s-iphone-15-and-15-pro-imaging-tech-examined/,camera_module:apple:iphone-15-pro-max:rear-main,yes,Use automatically; preserve derivation provenance.,ship,
